,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,sports,youth,max_val,max_cat,frequency,log_frequency,count
0,20-minute makeover,0.5942006707191467,0.1076581850647926,0.00613543856889,0.0149902505800127,0.2551895081996918,0.0454790107905864,0.0781045407056808,0.3190524578094482,0.0077607310377061,0.3656259477138519,0.1742137819528579,0.3273627161979675,0.142332062125206,0.5228007435798645,0.0426092930138111,0.1118524149060249,0.0924534201622009,0.2989256680011749,0.2569109797477722,0.2729349136352539,0.0410644114017486,0.3855564892292022,0.5942006707191467,housing,1,0.0,1
1,25 year club,0.3641337752342224,0.03737523406744,0.0001236644311575,0.0114900534972548,0.1884493976831436,0.1969027072191238,0.027482021600008,0.2313974797725677,0.0008199752192012,0.1923439055681228,0.1299298256635666,0.1100878491997718,0.0789197385311126,0.2821904122829437,0.0125652281567454,0.0166926719248294,0.0264084059745073,0.1681543588638305,0.459549993276596,0.3890909850597381,0.2135205864906311,0.0010573969921097,0.459549993276596,equity,1,0.0,1
2,3 rs,0.4391574263572693,0.1506498008966446,0.0786810144782066,0.0506587848067283,0.1824961900711059,0.3806116282939911,0.2247850000858307,0.5431475043296814,0.0922524407505989,0.3809926509857178,0.2789923548698425,0.3997301459312439,0.461604505777359,0.4580043852329254,0.1693578511476516,0.1193902269005775,0.6286776065826416,0.27768674492836,0.4400511085987091,0.5357654094696045,0.1932785511016845,0.5269650220870972,0.6286776065826416,cost of living,1,0.0,1
3,3-1-1,0.6031776666641235,0.1183918491005897,0.1018495112657547,0.0403969325125217,0.2684716880321502,0.5733606219291687,0.3931269347667694,0.6746256351470947,0.127637580037117,0.5314462184906006,0.3794708847999573,0.5048220157623291,0.5907909870147705,0.5775915384292603,0.2508737742900848,0.0878445655107498,0.4546964764595032,0.3323641121387481,0.4746747314929962,0.626049280166626,0.2165849804878235,0.6222148537635803,0.6746256351470947,transit,1,0.0,1
4,311,0.4190568625926971,0.0818676799535751,0.1092670187354087,0.0386255905032157,0.1357497125864029,0.2972604632377624,0.2250042408704757,0.4609909057617187,0.0742360204458236,0.3402609825134277,0.2018189430236816,0.3586510717868805,0.3716121613979339,0.3882845044136047,0.1060297787189483,0.0958376750349998,0.4002125859260559,0.2077651172876358,0.2949539124965668,0.4880109131336212,0.1270928680896759,0.5033371448516846,0.5033371448516846,youth,1,0.0,1
5,311 calls,0.1640869230031967,0.0098368171602487,0.0322879143059253,0.0088929571211338,0.0488663837313652,0.1607776433229446,0.2330913543701172,0.4139634668827057,0.1192967146635055,0.1859461069107055,0.0954851731657981,0.3441609144210815,0.3189425468444824,0.0740474089980125,0.039947222918272,0.0136387674137949,0.0713224485516548,0.1330589801073074,0.1634212732315063,0.3994662761688232,0.0463902130722999,0.1797817796468734,0.4139634668827057,transit,1,0.0,1
6,9-1-1,0.290995180606842,0.0339612811803817,0.0689496770501136,0.0149605013430118,0.0960737690329551,0.2910163700580597,0.1239599287509918,0.4785616993904114,0.0834954231977462,0.2825073599815368,0.1232954710721969,0.3240781724452972,0.575820803642273,0.2924648523330688,0.0708856657147407,0.0252564623951911,0.2319572567939758,0.1892791986465454,0.3276637494564056,0.4102892577648163,0.1116624251008033,0.532521665096283,0.575820803642273,safety,1,0.0,1
7,911,0.0649872049689292,0.0083663202822208,0.0285055246204137,0.00421056849882,0.0190452318638563,0.0523669607937336,0.0430888272821903,0.1992961317300796,0.1566663235425949,0.0427854619920253,0.07981638610363,0.0949481129646301,0.916825830936432,0.0110207954421639,0.0060161044821143,0.0006585880182683,0.2226357012987136,0.0044929217547178,0.128371387720108,0.0933279693126678,0.0066687250509858,0.103220447897911,0.916825830936432,safety,1,0.0,1
8,911 calls,0.0010926113463938,0.0002098776894854,0.0016971699660643,0.0005840748781338,0.0001894507440738,0.0003425153845455,0.0022293620277196,0.0081626726314425,0.0262365508824586,0.0003347778983879,0.0007966137491166,0.0018532169051468,0.9127576351165771,0.0001711235963739,0.0001408168318448,0.0004169637686572,0.0014086803421378,0.0002155422844225,0.0414494276046752,0.0011205348419025,0.0001439722109353,0.0629215240478515,0.9127576351165771,safety,1,0.0,1
9,AIDS,0.0080721629783511,0.0003883064782712,0.0002439144300296,0.0005001900135539,0.0016269645420834,0.0011487588053569,0.0005863408441655,0.0207154098898172,0.0012001424329355,0.0001757025602273,0.0001612953346921,0.000281556538539,0.000572602788452,0.0003389222547411,0.0001700043940218,6.649310671491548e-05,0.0006835045060142,0.0009245608234778,0.0003318639646749,0.0002533789083827,0.000465715827886,0.0922610536217689,0.0922610536217689,youth,1,0.0,1
